OTUID	M13Urin.140575	M64Urin.140764	M44Uric.140688	M12Aptr.140800	M41Kner.140735	F24Plmr.140433	M53Tong.140327	M42Glns.140719	F31Indl.140679	M33Fotl.140701	F21Aptl.140686	F32Mout.140603	M22Mout.140541	F32Knel.140324	F12Navl.140828	F34Tong.140848	Phylum	Class	Order	Family 	Genus				
58127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__
583117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae
70379	0	0	1	0	0	0	1	0	0	0	0	0	4	0	0	1	k__Bacteria	p__TM7	c__TM7-3	o__EW055	f__
79234	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	1	k__Bacteria	p__Actinobacteria	c__Actinobacteria(class)	o__Actinomycetales	f__Actinomycetaceae
94166	0	0	1	0	0	1	79	0	0	0	0	17	24	0	0	34	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae
13464	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria(class)	o__Actinomycetales	f__Corynebacteriaceae
151324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae
166851	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae
17468	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria(class)	o__Actinomycetales	f__Micrococcaceae
235419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae
274801	0	0	0	1	1	2	0	3	0	0	0	0	0	0	1	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria(class)	o__Actinomycetales	f__Micrococcaceae
330679	0	0	0	6	2	0	0	0	0	0	21	0	0	2	0	0	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae
338191	0	0	0	6	0	0	0	4	0	0	0	0	0	0	1	0	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae
347704	0	0	0	2	13	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae
416589	0	0	0	27	14	1	0	0	0	2	0	0	0	0	155	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria(class)	o__Actinomycetales	f__Corynebacteriaceae
423737	0	0	0	69	0	0	0	0	0	0	0	0	0	0	164	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria(class)	o__Actinomycetales	f__Corynebacteriaceae
456825	0	0	0	1	23	16	0	2	0	0	0	0	0	0	124	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria(class)	o__Actinomycetales	f__Corynebacteriaceae
459107	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria(class)	o__Actinomycetales	f__Microbacteriaceae
4635	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae
529501	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria(class)	o__Actinomycetales	f__Dermabacteraceae
576765	0	0	0	0	0	29	0	0	2	0	0	0	0	0	0	0	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae
75079	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae
81096	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria(class)	o__Actinomycetales	f__Corynebacteriaceae
100284	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae
