	Face38.143319	Face32.143355	Face30.143329	Face44.143349	Face17.143354	Face21.143328	Face46.143315	Face13.143318	Face37.143323	Face9.143346	Face10.143341	Face39.143332	Face43.143350	Face18.143342	Face47.143345	Face6.143359	Face26.143322	Face20.143326	Face19.143331	Face8.143357	Face42.143360	Face35.143358	Face12.143333	Face3.143313	Face49.143338	Face14.143311	Face27.143353	Face45.143312	Face23.143337	Face34.143321	Face7.143339	Face24.143324	Face28.143348	Face33.143336	Face15.143344	Face31.143330	Face2.143352	Face11.143343	Face4.143335	Face29.143316	Face50.143317	Face1.143356	Face22.143334	Face25.143320	Face48.143351	Face41.143327	Face36.143314	Face40.143325	Face16.143340
Face7.143339	0.05978388	0.05713496	0.05230494	0.1618212	0.05487518	0.03736446	0.13453698	0.03353314	0.4834717	0.04679462	0.02640468	0.09565174	0.2757353	0.0540805	0.11790474	0.05976656	0.04651286	0.0360755	0.0381663	0.0232013	0.10477596	0.04097972	0.0526441	0.03554954	0.0320074	0.06314992	0.05659398	0.15788136	0.03306676	0.04184808	0.0	0.03446776	0.0496415	0.04803376	0.03824774	0.04151018	0.0390849	0.10060492	0.03696262	0.04007182	0.03495382	0.04505366	0.03749794	0.05104338	0.08653742	0.03872952	0.36603558	0.04311184	0.04062148
Face24.143324	0.04760152	0.04437568	0.04294434	0.16574548	0.0320413	0.02454066	0.14300518	0.02283862	0.49269402	0.05189174	0.03652632	0.09070438	0.2799021	0.03958362	0.11674142	0.04776648	0.0347261	0.0243075	0.03742758	0.03110166	0.0978918	0.03639332	0.05238758	0.0192787	0.03919448	0.06102604	0.03362634	0.16078172	0.02278988	0.034614	0.03446776	0.0	0.03321722	0.03623996	0.01777566	0.0249125	0.01897682	0.1064178	0.04590662	0.0263355	0.01943574	0.03420646	0.03450574	0.0396363	0.08530086	0.02100796	0.37787398	0.02511548	0.03419248
Face28.143348	0.05444218	0.01237226	0.05302824	0.1927949	0.01749592	0.0274288	0.17151104	0.04111104	0.509675	0.07645092	0.05826522	0.100999	0.3066392	0.01014964	0.139942	0.01722998	0.01490256	0.03730284	0.06075376	0.04837192	0.11016518	0.05316134	0.07252464	0.03277032	0.0567439	0.08302538	0.02888484	0.18581734	0.03319302	0.0500105	0.0496415	0.03321722	0.0	0.00664958	0.0278592	0.01588704	0.02600868	0.1223755	0.06615188	0.04077424	0.03417388	0.0195006	0.05981864	0.013939	0.102211	0.03823014	0.39688776	0.02688034	0.01808058
Face33.143336	0.05799856	0.01086292	0.0538971	0.19451732	0.0200065	0.02758302	0.17312034	0.04276302	0.50949782	0.07825034	0.0583182	0.10191546	0.30817862	0.00817042	0.1415791	0.01516136	0.01351622	0.03696114	0.05980346	0.04890878	0.11251588	0.05422448	0.0758331	0.03335642	0.05878856	0.08489132	0.03115666	0.1877296	0.0324186	0.05194836	0.04803376	0.03623996	0.00664958	0.0	0.0294235	0.01887186	0.02621538	0.12238248	0.0689393	0.04444862	0.0351297	0.01820998	0.0601333	0.01213378	0.10337802	0.0392634	0.3973615	0.02810488	0.0162474
Face15.143344	0.04568766	0.0384153	0.04150696	0.17113238	0.02272012	0.02347812	0.14900196	0.023727	0.49462204	0.05848808	0.0387197	0.0883494	0.2838524	0.02995456	0.12278896	0.0423801	0.02911716	0.02863232	0.04216572	0.03488072	0.0968441	0.03321642	0.05427804	0.01631248	0.04600906	0.06246494	0.02419088	0.16489054	0.02392074	0.03317382	0.03824774	0.01777566	0.0278592	0.0294235	0.0	0.02419212	0.01189124	0.11496038	0.05182788	0.02864856	0.01428864	0.02520152	0.0388654	0.03309296	0.0823614	0.02270954	0.3781606	0.02006934	0.02680398
Face31.143330	0.0565137	0.0254961	0.05127564	0.18164102	0.0228204	0.01682868	0.16051684	0.03656424	0.5034418	0.06843716	0.04859966	0.10075572	0.29663808	0.02370964	0.13103508	0.03022238	0.01796504	0.02695916	0.05466344	0.0363714	0.10715854	0.04834602	0.06734252	0.02711896	0.04705606	0.07674766	0.02970256	0.17964266	0.02539638	0.04732774	0.04151018	0.0249125	0.01588704	0.01887186	0.02419212	0.0	0.01907208	0.11573638	0.05555668	0.03730544	0.0278116	0.01933624	0.0510036	0.02351	0.09719028	0.0312167	0.38985356	0.02282062	0.0190493
Face2.143352	0.04630806	0.03502402	0.04289948	0.17377254	0.02215584	0.02035712	0.15134104	0.02558332	0.4999264	0.05991688	0.03907106	0.0900332	0.2863868	0.02616876	0.12359156	0.03818286	0.02499484	0.0251978	0.04507352	0.03449436	0.09771354	0.03701978	0.05417532	0.01507424	0.04367022	0.0666605	0.02515156	0.16781198	0.02258178	0.03733038	0.0390849	0.01897682	0.02600868	0.02621538	0.01189124	0.01907208	0.0	0.11137042	0.0493992	0.03281832	0.01470704	0.02189184	0.03863964	0.0313998	0.08748632	0.02171306	0.38222268	0.02271406	0.02753194
Face11.143343	0.1229858	0.12822716	0.11520202	0.15031092	0.12482146	0.1121075	0.13243718	0.10998442	0.4813347	0.08876334	0.09714476	0.13349322	0.27270918	0.12479226	0.12794938	0.12592024	0.11604094	0.10552566	0.10302694	0.10475034	0.1203788	0.11174352	0.1024883	0.10992942	0.09389996	0.10803632	0.12454358	0.16343724	0.10527988	0.11625288	0.10060492	0.1064178	0.1223755	0.12238248	0.11496038	0.11573638	0.11137042	0.0	0.10122902	0.11000098	0.10828082	0.11711618	0.09655934	0.1231635	0.11198842	0.11138128	0.36727002	0.11868444	0.12017628
Face4.143335	0.06763302	0.07772918	0.05524932	0.15323238	0.06863716	0.05134264	0.1306406	0.04470416	0.48285132	0.0382698	0.03597226	0.09519136	0.2683892	0.07164648	0.11354844	0.08081582	0.0647328	0.04507988	0.04345028	0.03286312	0.0986683	0.04803898	0.04255076	0.04651912	0.03326582	0.05599626	0.06929664	0.15558982	0.04659702	0.05033686	0.03696262	0.04590662	0.06615188	0.0689393	0.05182788	0.05555668	0.0493992	0.10122902	0.0	0.05160504	0.0449094	0.06465236	0.03570404	0.07196844	0.08213816	0.0479415	0.36227764	0.05719578	0.06135638
Face29.143316	0.03187158	0.05197854	0.026279	0.16108954	0.03514272	0.0345664	0.138648	0.02625848	0.48022352	0.05774112	0.04699514	0.07680468	0.27111968	0.04816672	0.10670048	0.05584742	0.04649352	0.03665888	0.04169536	0.04097364	0.08542142	0.03062118	0.043555	0.028069	0.04735446	0.04873694	0.03458992	0.14953134	0.03445166	0.02371582	0.04007182	0.0263355	0.04077424	0.04444862	0.02864856	0.03730544	0.03281832	0.11000098	0.05160504	0.0	0.02557376	0.04407068	0.04382412	0.04975544	0.0701684	0.01676306	0.3669968	0.03203246	0.04383174
