# QIIME v1.4.0-dev OTU table
#OTU ID	Face38.143319	Face32.143355	Face30.143329	Face44.143349	Face17.143354	Face21.143328	Face46.143315	Face13.143318	Face37.143323	Face9.143346	Face10.143341	Face39.143332	Face43.143350	Face18.143342	Face47.143345	Face6.143359	Face26.143322	Face20.143326	Face19.143331	Face8.143357	Face42.143360	Face35.143358	Face12.143333	Face3.143313	Face49.143338	Face14.143311	Face27.143353	Face45.143312	Face23.143337	Face34.143321	Face7.143339	Face24.143324	Face28.143348	Face33.143336	Face15.143344	Face31.143330	Face2.143352	Face11.143343	Face4.143335	Face29.143316	Face50.143317	Face1.143356	Face22.143334	Face25.143320	Face48.143351	Face41.143327	Face36.143314	Face40.143325	Face16.143340	Consensus Lineage
58301	0	1	2	0	0	0	0	0	61	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	33	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia aeria
60254	0	2	2	9	0	15	6	20	23	12	8	3	14	0	8	4	3	14	1	16	3	15	31	4	7	9	14	0	7	19	33	5	9	2	1	9	5	0	33	18	6	2	4	2	11	10	50	7	65	k__Bacteria;p__Cyanobacteria;c__;o__;f__;g__;s__
86757	0	2	1	17	0	6	22	14	0	0	23	0	21	0	4	0	0	0	4	3	8	8	6	7	2	3	1	20	2	0	8	0	1	4	2	0	2	0	2	2	7	0	13	9	4	6	4	0	3	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales Family XI. Incertae Sedis;g__Finegoldia;s__
87984	0	1	0	6	0	0	0	7	0	10	6	0	3	0	5	0	0	0	0	1	0	0	8	0	1	1	0	17	7	1	2	3	0	0	0	0	0	1	3	2	0	0	5	1	1	2	0	0	1	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Afipia;s__Afipia felis
94022	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__
107891	0	0	2	6	0	0	0	0	0	0	1	2	4	0	1	0	0	0	3	2	0	2	5	0	0	4	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	2	0	0	0	0	0	0	1	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium;s__
148099	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella;s__
150508	0	0	1	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__
15054	0	0	2	1	0	2	0	5	0	2	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	1	0	2	0	1	1	1	0	0	0	1	0	0	0	2	0	1	1	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__Granulicatella elegans
150702	0	0	1	1	0	1	4	0	0	0	1	0	0	0	3	0	1	2	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	1	0	0	1	1	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__
151543	0	0	1	4	0	1	0	0	6	0	0	0	1	1	0	0	1	2	0	1	0	0	1	0	0	3	0	4	0	0	5	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	10	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__
154802	0	0	1	0	0	0	0	0	12	0	1	0	3	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pseudopneumoniae
181819	0	0	4	3	1	13	3	5	0	12	9	0	10	0	5	1	3	18	4	1	1	0	21	3	12	2	2	11	2	3	18	2	0	2	5	2	1	1	10	7	2	0	7	5	8	4	2	6	7	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Pseudomonadaceae;g__Pseudomonas;s__
184320	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;s__
186382	0	0	3	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	3	0	1	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Pseudomonadaceae;g__Pseudomonas;s__
215776	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	5	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	2	0	4	3	0	0	1	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium;s__
224448	0	0	1	4	1	4	10	1	0	6	1	0	1	0	2	1	1	4	7	3	0	0	3	2	1	2	1	0	4	2	7	3	0	0	0	2	0	0	3	3	2	0	1	0	1	1	0	1	3	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__
235856	0	0	2	0	0	1	2	0	0	8	0	0	2	0	4	1	4	4	1	4	2	0	13	2	1	7	0	0	0	1	0	2	1	3	3	0	0	0	2	3	3	0	6	2	6	2	2	0	1	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
